time_sec,T_air,RH,u_wind,Q_sw,cloud_cover
0,6.339745962155613,40,1,0,0.0
3600,5.340741737109317,40,1,0,0.024999999999999998
7200,5.0,40,1,0,0.049999999999999996
10800,5.340741737109317,40,1,0,0.075
14400,6.3397459621556145,40,1,0,0.09999999999999999
18000,7.9289321881345245,40,1,0,0.12499999999999999
21600,10.0,40,1,0,0.15
25200,12.411809548974793,40,1,207,0.175
28800,15.0,40,1,399,0.19999999999999998
32400,17.588190451025206,40,1,565,0.22499999999999998
36000,20.0,40,1,692,0.24999999999999997
39600,22.071067811865476,40,1,772,0.27499999999999997
43200,23.660254037844386,40,1,800,0.3
46800,24.65925826289068,40,1,772,0.32499999999999996
50400,25.0,40,1,692,0.35
54000,24.65925826289068,40,1,565,0.37499999999999994
57600,23.66025403784439,40,1,399,0.39999999999999997
61200,22.071067811865476,40,1,207,0.425
64800,20.0,40,1,0,0.44999999999999996
68400,17.58819045102521,40,1,0,0.475
72000,14.999999999999996,40,1,0,0.49999999999999994
75600,12.411809548974793,40,1,0,0.5249999999999999
79200,10.0,40,1,0,0.5499999999999999
82800,7.928932188134525,40,1,0,0.575
86400,6.339745962155616,40,1,0,0.6
