time_sec,T_air,RH,u_wind,Q_sw,cloud_cover
0,6.339746,40.0,1.5,0.0,0.0
3600,5.340742,40.0,1.5,0.0,0.025
7200,5.000000,40.0,1.5,0.0,0.05
10800,5.340742,40.0,1.5,0.0,0.075
14400,6.339746,40.0,1.5,0.0,0.1
18000,7.928932,40.0,1.5,0.0,0.125
21600,10.000000,40.0,1.5,0.0,0.15
25200,12.588190,40.0,1.5,207.055239,0.175
28800,15.000000,40.0,1.5,400.000000,0.2
32400,17.411810,40.0,1.5,565.685425,0.225
36000,20.000000,40.0,1.5,692.820323,0.25
39600,22.071068,40.0,1.5,772.740661,0.275
43200,23.660254,40.0,1.5,800.000000,0.3
46800,24.659258,40.0,1.5,772.740661,0.325
50400,25.000000,40.0,1.5,692.820323,0.35
54000,24.659258,40.0,1.5,565.685425,0.375
57600,23.660254,40.0,1.5,400.000000,0.4
61200,22.071068,40.0,1.5,207.055239,0.425
64800,20.000000,40.0,1.5,0.0,0.45
68400,17.411810,40.0,1.5,0.0,0.475
72000,15.000000,40.0,1.5,0.0,0.5
75600,12.588190,40.0,1.5,0.0,0.525
79200,10.000000,40.0,1.5,0.0,0.55
82800,7.928932,40.0,1.5,0.0,0.575
86400,6.339746,40.0,1.5,0.0,0.6
